scorer,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000
bodyparts,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
122,688.1067237854004,-1.2320666313171387,4.845356329497008e-07,684.7454437613487,1.1458346843719482,2.0183199467282975e-06,0.5689270496368408,4.330586731433868,2.843007962383126e-07
123,688.0304040908813,-1.0203728675842285,5.873385475752002e-07,684.7888118028641,0.795590877532959,2.281285105709685e-06,0.6061620712280273,4.363794803619385,2.788625863558991e-07
124,688.4084882736206,-0.9395661354064941,6.871851496725867e-07,684.8053107857704,0.7299492359161377,2.6405452899780357e-06,0.6229774951934814,4.368925869464874,2.8208515345795604e-07
125,688.2822561264038,-1.2080001831054688,3.910075179192063e-07,685.1148828268051,0.6831474304199219,1.8197054032498272e-06,0.5781166553497314,4.31247490644455,2.6891530069406144e-07
126,688.1244473457336,-1.0453095436096191,5.310824349180621e-07,684.9338576793671,0.6325042247772217,2.2846443243906833e-06,0.5984852313995361,4.2275984436273575,2.7055727969127474e-07
127,653.3828424215317,-1.3572640419006348,4.934908588438702e-07,684.910994887352,0.4177820682525635,1.4082361303735524e-06,656.5256414413452,3.465519964694977,3.011234639416216e-07
128,653.2547270059586,-1.4781031608581543,4.7546714654345124e-07,684.7712497711182,0.73777174949646,1.8020798506768188e-06,656.7557258605957,3.3299068212509155,2.9867413786632824e-07
129,653.307014465332,-1.7028088569641113,3.605663607686438e-07,685.0731899738312,0.8954415321350098,1.862437329691602e-06,0.600081205368042,4.269695907831192,2.6744393721855886e-07
130,688.3566918373108,-0.9673867225646973,3.95299110778069e-07,684.8660686016083,0.8534438610076904,1.7165109511552146e-06,0.5367336273193359,4.307164549827576,2.5297384809164214e-07
131,653.0779919624329,-1.6827683448791504,5.461133127937501e-07,684.6702238917351,1.0661866664886475,2.063288320641732e-06,656.4492020606995,3.0327274799346924,2.8853892786173674e-07
132,653.1672518253326,-1.5130352973937988,5.948147077106114e-07,684.6052432060242,0.7524964809417725,1.731839006424707e-06,656.0838041305542,3.1881632804870605,3.208213286143291e-07
133,688.1441373825073,-0.9334588050842285,5.659503585775383e-07,684.6465421319008,1.2459537982940674,2.4731343728490174e-06,656.705557346344,3.200683355331421,2.677984412002843e-07
134,653.2079113721848,-1.2635645866394043,6.365426088450477e-07,684.7018303871155,1.1695101261138916,2.0845716335315956e-06,656.8477382659912,3.5640179216861725,3.448639347425342e-07
135,688.210126876831,-0.9183588027954102,5.710302843908721e-07,684.7223337888718,1.0290117263793945,1.9263684407633264e-06,656.8098697662354,3.4105037450790405,3.4222000522277085e-07
